trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
129,False,"{'a': 0.5, 'e': 0.2734891510222162}",20,5,11.872980813680737,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.27075425951199406}",25,8,-25.138755735054357,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
131,False,"{'a': 0.5, 'e': 0.2680467169168741}",25,0,-74.492527873803,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
132,False,"{'a': 0.5, 'e': 0.26536624974770534}",20,13,10.962037029530801,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.2627125872502283}",25,13,-21.677458122191766,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
134,False,"{'a': 0.5, 'e': 0.26008546137772603}",25,13,-34.15349395571587,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.25748460676394874}",30,16,-23.552661190701585,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.5, 'e': 0.2549097606963093}",35,18,-13.657385165232661,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.2523606630893462}",20,0,29.477661942484307,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.2498370564584527}",20,3,15.741149477219922,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.24733868589386818}",30,17,7.103196771278895,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24486529903492948}",20,13,11.347216468671963,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2424166460445802}",25,0,10.681854626059918,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.2399924795841344}",20,11,-4.577125813319162,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23759255478829303}",20,7,-1.7908367381587784,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.23521662924041012}",25,10,-18.401864129555808,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.232864462948006}",20,12,3.169008505397624,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.23053581831852593}",20,4,5.911946148265512,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.22823046013534068}",20,13,14.525702753775878,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22594815553398728}",30,18,25.710238481130236,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.2236886739786474}",25,12,-1.3460943347956218,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22145178723886091}",20,0,-0.28961690560113906,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.2192372693664723}",20,0,-51.51679459276454,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.21704489667280757}",25,2,-36.41033842764551,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 1}",1
153,False,"{'a': 0.5, 'e': 0.2148744477060795}",20,14,12.822457898696028,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.2127257032290187}",25,12,22.254072792053464,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21059844619672852}",20,12,14.171567286963322,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.20849246173476124}",30,19,-22.23912292871308,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.2064075371174136}",20,9,3.6228327173572,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20434346174623946}",35,5,-12.94522384111282,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",1
159,False,"{'a': 0.5, 'e': 0.2023000271287771}",30,13,-1.6199614703824021,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20027702685748933}",20,9,20.46766433931974,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19827425658891443}",20,15,1.0304563926902675,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.19629151402302528}",20,0,-1.433229377747632,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.19432859888279502}",20,10,-3.2278496018301768,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19238531289396707}",20,0,3.6452452534834223,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.1904614597650274}",20,11,7.6015047595892336,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.1885568451673771}",20,9,-21.370718926360496,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
167,False,"{'a': 0.5, 'e': 0.18667127671570335}",20,0,20.22437299923509,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
168,False,"{'a': 0.5, 'e': 0.1848045639485463}",25,11,10.157909365989095,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18295651830906084}",30,19,11.120316410610501,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18112695312597024}",20,12,13.704839481464942,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.17931568359471053}",30,23,13.954895315046985,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17752252675876343}",25,0,30.521312799468745,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.1757473014911758}",25,13,24.635530292339258,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17398982847626404}",25,15,16.1706034211553,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.1722499301915014}",20,12,-5.2181689583580875,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17052743088958636}",20,9,20.25605472302061,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.1688221565806905}",20,16,8.400224207291197,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.1671339350148836}",20,4,18.80547732992302,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
